symbol,provider_symbol,asset_class,region,provider
asx/10X,10X.AX,stock,AU,yahoo
asx/14D,14D.AX,stock,AU,yahoo
asx/1AD,1AD.AX,stock,AU,yahoo
asx/1AE,1AE.AX,stock,AU,yahoo
asx/1AI,1AI.AX,stock,AU,yahoo
asx/1CG,1CG.AX,stock,AU,yahoo
asx/1MC,1MC.AX,stock,AU,yahoo
asx/1TT,1TT.AX,stock,AU,yahoo
asx/29M,29M.AX,stock,AU,yahoo
asx/360,360.AX,stock,AU,yahoo
asx/3DA,3DA.AX,stock,AU,yahoo
asx/3DP,3DP.AX,stock,AU,yahoo
asx/3PL,3PL.AX,stock,AU,yahoo
asx/4DS,4DS.AX,stock,AU,yahoo
asx/4DX,4DX.AX,stock,AU,yahoo
asx/5EA,5EA.AX,stock,AU,yahoo
asx/5GG,5GG.AX,stock,AU,yahoo
asx/5GN,5GN.AX,stock,AU,yahoo
asx/6KA,6KA.AX,stock,AU,yahoo
asx/88E,88E.AX,stock,AU,yahoo
asx/8CO,8CO.AX,stock,AU,yahoo
asx/8IH,8IH.AX,stock,AU,yahoo
asx/A11,A11.AX,stock,AU,yahoo
asx/A1G,A1G.AX,stock,AU,yahoo
asx/A1M,A1M.AX,stock,AU,yahoo
asx/A1N,A1N.AX,stock,AU,yahoo
asx/A2M,A2M.AX,stock,AU,yahoo
asx/A3D,A3D.AX,stock,AU,yahoo
asx/A4N,A4N.AX,stock,AU,yahoo
asx/A8G,A8G.AX,stock,AU,yahoo
asx/AA2,AA2.AX,stock,AU,yahoo
asx/AAC,AAC.AX,stock,AU,yahoo
asx/AAI,AAI.AX,stock,AU,yahoo
asx/AAJ,AAJ.AX,stock,AU,yahoo
asx/AAJOA,AAJOA.AX,stock,AU,yahoo
asx/AAL,AAL.AX,stock,AU,yahoo
asx/AAM,AAM.AX,stock,AU,yahoo
asx/AAP,AAP.AX,stock,AU,yahoo
asx/AAR,AAR.AX,stock,AU,yahoo
asx/AAU,AAU.AX,stock,AU,yahoo
asx/ABB,ABB.AX,stock,AU,yahoo
asx/ABE,ABE.AX,stock,AU,yahoo
asx/ABG,ABG.AX,stock,AU,yahoo
asx/ABR,ABR.AX,stock,AU,yahoo
asx/ABV,ABV.AX,stock,AU,yahoo
asx/ABX,ABX.AX,stock,AU,yahoo
asx/ABY,ABY.AX,stock,AU,yahoo
asx/ACE,ACE.AX,stock,AU,yahoo
asx/ACF,ACF.AX,stock,AU,yahoo
asx/ACL,ACL.AX,stock,AU,yahoo
asx/ACM,ACM.AX,stock,AU,yahoo
asx/ACMOA,ACMOA.AX,stock,AU,yahoo
asx/ACP,ACP.AX,stock,AU,yahoo
asx/ACR,ACR.AX,stock,AU,yahoo
asx/ACS,ACS.AX,stock,AU,yahoo
asx/ACU,ACU.AX,stock,AU,yahoo
asx/ACW,ACW.AX,stock,AU,yahoo
asx/AD1,AD1.AX,stock,AU,yahoo
asx/AD8,AD8.AX,stock,AU,yahoo
asx/ADC,ADC.AX,stock,AU,yahoo
asx/ADD,ADD.AX,stock,AU,yahoo
asx/ADG,ADG.AX,stock,AU,yahoo
asx/ADH,ADH.AX,stock,AU,yahoo
asx/ADN,ADN.AX,stock,AU,yahoo
asx/ADNOD,ADNOD.AX,stock,AU,yahoo
asx/ADO,ADO.AX,stock,AU,yahoo
asx/ADR,ADR.AX,stock,AU,yahoo
asx/ADS,ADS.AX,stock,AU,yahoo
asx/ADV,ADV.AX,stock,AU,yahoo
asx/ADX,ADX.AX,stock,AU,yahoo
asx/ADY,ADY.AX,stock,AU,yahoo
asx/AEE,AEE.AX,stock,AU,yahoo
asx/AEF,AEF.AX,stock,AU,yahoo
asx/AEG,AEG.AX,stock,AU,yahoo
asx/AEI,AEI.AX,stock,AU,yahoo
asx/AEL,AEL.AX,stock,AU,yahoo
asx/AEM,AEM.AX,stock,AU,yahoo
asx/AER,AER.AX,stock,AU,yahoo
asx/AEU,AEU.AX,stock,AU,yahoo
asx/AEV,AEV.AX,stock,AU,yahoo
asx/AFA,AFA.AX,stock,AU,yahoo
asx/AFG,AFG.AX,stock,AU,yahoo
asx/AFI,AFI.AX,stock,AU,yahoo
asx/AFL,AFL.AX,stock,AU,yahoo
asx/AFP,AFP.AX,stock,AU,yahoo
asx/AGC,AGC.AX,stock,AU,yahoo
asx/AGD,AGD.AX,stock,AU,yahoo
